자치구별,2018_academy,2019_academy,2020_academy,2021_academy,2022_academy
종로구,274,259,243,217,248
중구,119,118,109,91,108
용산구,158,155,154,137,151
성동구,314,293,289,290,294
광진구,430,406,405,426,441
동대문구,363,368,350,359,388
중랑구,273,276,262,257,271
성북구,464,450,439,451,469
강북구,218,209,206,210,217
도봉구,335,317,297,285,299
노원구,747,740,718,684,726
은평구,521,525,519,509,525
서대문구,345,346,348,342,355
마포구,644,683,689,692,699
양천구,1062,1037,1008,979,1038
강서구,707,693,694,697,708
구로구,427,406,394,386,397
금천구,222,224,212,208,219
영등포구,467,446,445,440,470
동작구,458,465,471,487,470
관악구,450,443,431,434,415
서초구,1130,1119,1148,1146,1193
강남구,2263,2279,2361,2383,2500
송파구,1051,1115,1076,1045,1110
강동구,638,672,724,654,703
전체,14080,14044,13992,13809,14414
