2018 자료수,2019 자료수,2020 자료수,2021 자료수,2022 자료수
1206708,1237509,1248380,1266108,1269647
588802,631098,690958,776981,843810
903055,913160,918125,915563,919433
551969,525438,543068,557187,564108
371160,395514,439771,477663,518656
475335,515416,546041,566835,628431
369322,415039,448124,440895,426701
621193,651540,666057,682658,657864
443563,442177,451687,453980,467642
594353,620971,631428,663806,683921
853336,902652,845922,857291,766004
521496,570829,612605,645097,655595
477018,495945,497491,502601,488581
634556,673913,680812,745267,777490
570059,573924,632826,697700,718746
690355,715511,741387,756236,748622
767264,827235,719877,769938,741832
326005,341672,390091,356441,361609
463105,484909,480848,503239,483786
350686,384644,413917,452044,469801
414989,420702,413644,426044,418975
227022,304255,366949,409638,423949
847269,888956,946192,941352,1019636
699666,735879,750853,804397,764742
902437,921633,920265,958252,966836
14870723,15590521,15997318,16627213,16786417
